,No,Group,Product part number,Package code
1,1,RA4M3,R7FA4M3AD2CBM,PLBG0144K*
2,2,RA4M3,R7FA4M3AD3CBM,PLBG0144K*
3,3,RA4M3,R7FA4M3AE2CBM,PLBG0144K*
4,4,RA4M3,R7FA4M3AE3CBM,PLBG0144K*
5,5,RA4M3,R7FA4M3AF2CBM,PLBG0144K*
6,6,RA4M3,R7FA4M3AF3CBM,PLBG0144K*
7,7,RA4M3,R7FA4M3AD2CBQ,PLBG0064J*
8,8,RA4M3,R7FA4M3AD3CBQ,PLBG0064]*
9,9,RA4M3,R7FA4M3AE2CBQ,PLBG0064J*
10,10,RA4M3,R7FA4M3AE3CBQ,PLBG0064J*
11,11,RA4M3,R7FA4M3AF2CBQ,PLBG0064]*
12,12,RA4M3,R7FA4M3AF3CBQ,PLBG0064]*
13,13,RA4M3,R7FA4M3AD3CFB,PLQP0144K*
14,14,RA4M3,R7FA4M3AE3CFB,PLQP0144K*
15,15,RA4M3,R7FA4M3AF3CFB,PLQP0144K*
16,16,RA4M3,R7FA4M3AE3CFM,PLQP0064K*
17,17,RA4M3,R7FA4M3AF3CFM,PLQP0064K*
18,18,RA4M3,R7FA4M3AE3CFP,PLQP0100K*
19,19,RA4M3,R7FA4M3AF3CFP,PLQP0100K*
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
