,No,Group,Product part number,Package code
1,161,RL78/G23,R7F100GLH2DFA,PLQP0064J*
2,162,RL78/G23,R7F100GLH3CFA,PLQP0064J*
3,163,RL78/G23,R7F100GLJ2DFA,PLQP0064]*
4,164,RL78/G23,R7F100GLJ3CFA,PLQP0064]*
5,165,RL78/G23,R7F100GSJ2DFB,PLQP0128K*
6,166,RL78/G23,R7F100GSJ3CFB,PLQP0128K*
7,167,RL78/G23,R7F100GSK2DFB,PLQP0128K*
8,168,RL78/G23,R7F100GSK3CFB,PLQP0128K*
9,169,RL78/G23,R7F100GSL2DFB,PLQP0128K*
10,170,RL78/G23,R7F100GSL3CFB,PLQP0128K*
11,171,RL78/G23,R7F100GSN2DFB,PLQP0128K*
12,172,RL78/G23,R7F100GSN3CFB,PLQP0128K*
13,173,,,
14,174,,,
15,175,,,
16,176,,,
17,177,,,
18,178,,,
19,179,,,
20,180,,,
21,181,,,
22,182,,,
23,183,,,
24,184,,,
25,185,,,
26,186,,,
27,187,,,
28,188,,,
29,189,,,
30,190,,,
31,191,,,
32,192,,,
33,193,,,
34,194,,,
35,195,,,
36,196,,,
37,197,,,
38,198,,,
39,199,,,
40,200,,,
41,201,,,
42,202,,,
43,203,,,
44,204,,,
45,205,,,
46,206,,,
47,207,,,
48,208,,,
49,209,,,
50,210,,,
51,211,,,
52,212,,,
53,213,,,
54,214,,,
55,215,,,
56,216,,,
57,217,,,
58,218,,,
59,219,,,
60,220,,,
