,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,FileX_block_media_qspi_LevelX,Supported,,
3,NetX_crypto,Supported,,
4,NetX_wifi,Supported,,
5,USBX_dfu,Supported,,
6,USBX_hcdc_acm,Supported,,
7,USBX_hhid,Supported,,
8,USBX_hmsc,Supported,,
9,USBX_host_hub,Supported,,
10,"USBX_paud
:selected:",Supported,,
11,USBX_pcdc_acm,Supported,,
12,USBX_phid,Supported,,
13,USBX_pmsc,Supported,,
14,USBX_pprn,Supported,,
15,_quickstart,Supported,,
16,adc,Supported,,
17,adc_gpt_periodic_sampling,Supported,,
18,agt,Supported,Supported,Supported
19,audio_playback_pwm,Supported,,
20,cac,Supported,,
21,can,Supported,,
22,can_fifo,Supported,,
23,cpp,Supported,,
24,crc,Supported,,
25,dac,Supported,,
26,dac_agt_periodic_signal_generator,Supported,,
27,dmac,Supported,Supported,Supported
28,doc,Supported,,
29,elc,Supported,,
30,flash_hp,Supported,Supported,Supported
31,freertos,Supported,Supported,Supported
32,gpt,Supported,Supported,Supported
33,gpt_input_capture,Supported,,
34,icu,Supported,Supported,Supported
35,iic_master,Supported,,
36,iic_slave,Supported,Supported,Supported
37,iwdt,Supported,,
38,lpm,Supported,,
