,Address,Module Symbol,Register Name,Register Symbol
1,0008 8004h,CMT0,Compare Match Timer Counter,CMCNT
2,0008 8044h,R12DA,D/A Control Register,DACR
3,0008 8204h,TMR0,Time Constant Register A,TCORA
4,0008 8204h,TMR01,Time Constant Register A,TCORA
5,0008 8304h,RIIC0,I2C Bus Mode Register 3,ICMR3
6,0008 8384h,RSPI0,RSPI Data Register,SPDR
7,0008 8604h,MTU3,Timer I/O Control Register H,TIORH
8,0008 8644h,MTU4,Timer A/D Converter Start Request Cycle Set Register A,TADCORA
9,0008 8684h,MTU,Timer Read/Write Enable Register,TRWER
10,0008 8704h,MTU0,Timer Interrupt Enable Register,TIER
11,0008 8784h,MTU1,Timer Interrupt Enable Register,TIER
12,0008 8804h,MTU2,Timer Interrupt Enable Register,TIER
13,0008 8884h,MTU5,Timer Control Register U,TCRU
14,0008 9004h,S12AD,A/D Channel Select Register A,ADANSA
15,0008 A004h,SCI0,Serial Status Register,SSR
16,0008 A044h,SCI2,Serial Status Register,SSR
17,0008 A0C4h,SCI6,Serial Status Register,SSR
18,0008 A104h,SCI8,Serial Status Register,SSR
19,0008 B004h,CAC,CAC Status Register,CASTR
20,0008 B084h,DOC,DOC Data Setting Register,DODSR
21,0008 B104h,ELC,Event Link Setting Register 3,ELSR3
22,0008 B304h,SCI12,Serial Status Register,SSR
23,0008 C004h,PORT4,Port Direction Register,PDR
24,0008 C044h,PORT4,Port Input Register,PIDR
25,0008 C084h,PORT2,Open-Drain Control Register0,ODR0
26,0008 C144h,MPC,P04 Pin Function Control Register,P04PFS
27,0008 C404h,RTC,Minute Counter,RMINCNT
28,0008 C404h,RTC,Binary Counter 1,BCNT1
29,0008 C584h,CMPB,Comparator B Filter Select Register,CPBF
