,No,Group,Product part number,Package code
1,1,RA6M3,R7FA6M3AF2CBG,PLBG0176G*
2,2,RA6M3,R7FA6M3AF3CBG,PLBG0176G*
3,3,RA6M3,R7FA6M3AH2CBG,PLBG0176G*
4,4,RA6M3,R7FA6M3AH3CBG,PLBG0176G*
5,5,RA6M3,R7FA6M3AF3CFB,PLQP0144K*
6,6,RA6M3,R7FA6M3AH3CFB,PLQP0144K*
7,7,RA6M3,R7FA6M3AF3CFC,PLQP0176K*
8,8,RA6M3,R7FA6M3AH3CFC,PLQP0176K*
9,9,RA6M3,R7FA6M3AF3CFP,PLQP0100K*
10,10,RA6M3,R7FA6M3AH3CFP,PLQP0100K*
11,11,RA6M3,R7FA6M3AF2CLK,PTLG0145K*
12,12,RA6M3,R7FA6M3AF3CLK,PTLG0145K*
13,13,RA6M3,R7FA6M3AH2CLK,PTLG0145K*
14,14,RA6M3,R7FA6M3AH3CLK,PTLG0145K*
15,15,,,
16,16,,,
17,17,,,
18,18,,,
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
