,No,Group,Product part number,Package code
1,1,RA4M2,R7FA4M2AB3CFL,PLQP0048K*
2,2,RA4M2,R7FA4M2AC3CFL,PLQP0048K*
3,3,RA4M2,R7FA4M2AD3CFL,PLQP0048K*
4,4,RA4M2,R7FA4M2AB3CFM,PLQP0064K*
5,5,RA4M2,R7FA4M2AC3CFM,PLQP0064K*
6,6,RA4M2,R7FA4M2AD3CFM,PLQP0064K*
7,7,RA4M2,R7FA4M2AB3CFP,PLQP0100K*
8,8,RA4M2,R7FA4M2AC3CFP,PLQP0100K*
9,9,RA4M2,R7FA4M2AD3CFP,PLQP0100K*
10,10,RA4M2,R7FA4M2AB3CNE,PWQN0048K*
11,11,RA4M2,R7FA4M2AC3CNE,PWQN0048K*
12,12,RA4M2,R7FA4M2AD3CNE,PWQN0048K*
13,13,,,
14,14,,,
15,15,,,
16,16,,,
17,17,,,
18,18,,,
19,19,,,
20,20,,,
21,21,,,
22,22,,,
23,23,,,
24,24,,,
25,25,,,
26,26,,,
27,27,,,
28,28,,,
29,29,,,
30,30,,,
31,31,,,
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
